,Title,Author,Price,Genre
749,Eyeless in Gaza,Huxley  Aldous,37,fiction
750,Tales of Beedle the Bard,Rowling  J K,6,fiction
751,Girl with the Dragon Tattoo,Larsson  Steig,32,fiction
752,Girl who kicked the Hornet's Nest,Larsson  Steig,39,fiction
753,Girl who played with Fire,Larsson  Steig,9,fiction
756,Structure and Randomness,Tao  Terence,44,science
757,Image Processing with MATLAB,Eddins  Steve,40,tech
758,Animal Farm,Orwell  George,13,fiction
759,Idiot  The,Dostoevsky  Fyodor,26,fiction
760,Christmas Carol  A,Dickens  Charles,19,fiction
